run_type,runs,mean,median,std,max,share_ge_1,share_ge_2,share_ge_3,share_ge_5
all_creative_activity,48651,1.8635588168794064,1.0,1.8032305338476016,60,1.0,0.42036134920145524,0.1722677848348441,0.05329797948654704
broad_exploration,46716,1.8171932528469903,1.0,1.7595404709569238,60,1.0,0.40097611096840485,0.16131518109427176,0.04989725147701002
local_refinement,4821,1.1972619788425638,1.0,0.7346498104596836,20,1.0,0.12632233976353455,0.0352623936942543,0.006845052893590542
strict_brainstorming,15667,1.3211208272164423,1.0,1.0446266343534896,44,1.0,0.19537882172719728,0.05757324312248675,0.012701857407289206
