cluster_id,wide_share,generation_share,local_share,noncreative_share,creative_state_switches,creative_run_count,longest_creative_run,first_creative_relative,n_turns,conversations,share,user_process_group
0,0.10838572744320354,0.8050300392691828,0.024125658350221815,0.06245857493739185,0.3849146697320718,1.092757980369617,3.168980458042267,0.3806293857074326,3.555752055884694,11309,0.31398189793991893,creative_session_dominant
1,0.15382937366116486,0.2325714291420784,0.03797732268004353,0.5756218745167132,0.0858343337334934,1.1193977591036415,1.2519007603041217,0.5419689804229609,4.043217286914766,19992,0.555055805430618,brief_creativity_in_broader_task
2,0.12989123651725337,0.2701543179866091,0.05320168977019167,0.5467527557259458,1.5098579605681577,2.9497562009751963,2.9374602501589995,0.1619291652684982,13.96184015263939,4717,0.13096229662946304,extended_iterative_process
