initial_state,estimated_n,weighted_mean_initial_run_observed,weighted_mean_active_turns_observed,share_persist_to_t2,share_persist_to_t3
creative_continuation_other,180.325,1.2458061832801886,1.016775266879246,0.24580618328018858,0.0
local_search,1397.7749999999999,1.7211461072060954,1.9960472894421495,0.4807640714707303,0.24038203573536515
non_creative_shift,315.05,1.6165687986033965,0.46627519441358517,0.38343120139660375,0.23313759720679259
wide_search,1165.475,1.3841137733542117,1.6916707780089664,0.2843690340848153,0.0997447392693966
