seed,adjusted_rand_index_vs_seed42
0,0.9966338124086193
1,0.9998988326131711
2,0.9998714125826874
3,0.9998988326131711
4,0.9998714125826874
5,0.999119157605373
6,0.9721119152500061
7,0.9984264702866631
8,0.9998714125826874
9,0.9998988326131711
