topic_family,brief_creativity_in_broader_task,creative_session_dominant,extended_iterative_process
Business and management,0.5778546712802768,0.25308947108255064,0.1690558576371725
Creative writing,0.46946628743516816,0.45323741007194246,0.07729630249288941
Education and research,0.5936293436293436,0.24420849420849422,0.16216216216216217
Games and entertainment,0.4565371024734982,0.45335689045936395,0.09010600706713781
Marketing and branding,0.3235399498387675,0.5270512361160874,0.1494088140451451
Other,0.6344821460294902,0.2237519985787884,0.14176585539172143
Software and technology,0.6377903327055869,0.2197112366603892,0.14249843063402384
Translation and language,0.6449589966232513,0.19826338639652677,0.1567776169802219
Visual design and media,0.4803611738148984,0.38284424379232507,0.13679458239277653
