process_taxonomy,conversations,mean_turns,median_turns,mean_creative_share,mean_switches,share,ci95_low,ci95_high
single_generation_only,20445,4.5805331376864755,3.0,0.5637921409955453,0.0,0.5676328502415459,0.5625165457873329,0.5727491546957588
wide_without_local,11535,5.588903337667967,4.0,0.6364588527980711,0.6956220199393152,0.3202565383974679,0.31543797256875233,0.3250751042261835
local_without_wide,3007,5.807449285001662,4.0,0.5599533397189345,0.8064516129032258,0.08348603476039758,0.08062928147777951,0.08634278804301565
wide_to_local,462,8.677489177489177,6.0,0.6557973630137987,1.9761904761904763,0.012826919873396635,0.011664791466119604,0.013989048280673667
local_to_wide,315,9.707936507936507,6.0,0.6642298665422849,2.107936507936508,0.008745627186406797,0.007784049642347078,0.009707204730466516
iterative_reopening,254,16.751968503937007,12.0,0.6319568505823333,4.586614173228346,0.007052029540785163,0.006187824923848373,0.007916234157721951
